Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
The Shawshank Redemption,9.3,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,Tim Robbins Morgan Freeman Bob Gunton William Sadler
The Godfather,9.2,1972,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,"Crime, Drama",Marlon Brando Al Pacino James Caan Diane Keaton
The Dark Knight,9.0,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action, Crime, Drama",Christian Bale Heath Ledger Aaron Eckhart Michael Caine
The Godfather: Part II,9.0,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime, Drama",Al Pacino Robert De Niro Robert Duvall Diane Keaton
12 Angry Men,9.0,1957,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Crime, Drama",Henry Fonda Lee J. Cobb Martin Balsam John Fiedler
The Lord of the Rings: The Return of the King,8.9,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action, Adventure, Drama",Elijah Wood Viggo Mortensen Ian McKellen Orlando Bloom
Pulp Fiction,8.9,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime, Drama",John Travolta Uma Thurman Samuel L. Jackson Bruce Willis
Schindler's List,8.9,1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography, Drama, History",Liam Neeson Ralph Fiennes Ben Kingsley Caroline Goodall
Inception,8.8,2010,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Action, Adventure, Sci-Fi",Leonardo DiCaprio Joseph Gordon-Levitt Elliot Page Ken Watanabe
Fight Club,8.8,1999,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",Drama,Brad Pitt Edward Norton Meat Loaf Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,8.8,2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action, Adventure, Drama",Elijah Wood Ian McKellen Orlando Bloom Sean Bean
Forrest Gump,8.8,1994,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama, Romance",Tom Hanks Robin Wright Gary Sinise Sally Field
"Il buono, il brutto, il cattivo",8.8,1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Western,Clint Eastwood Eli Wallach Lee Van Cleef Aldo Giuffrè
The Lord of the Rings: The Two Towers,8.7,2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action, Adventure, Drama",Elijah Wood Ian McKellen Viggo Mortensen Orlando Bloom
